	Respondent	MainBranch	Hobbyist	Age	Age1stCode	CompFreq	CompTotal	ConvertedComp	Country	CurrencyDesc	CurrencySymbol	DatabaseDesireNextYear	DatabaseWorkedWith	DevType	EdLevel	Employment	Ethnicity	Gender	JobFactors	JobSat	JobSeek	LanguageDesireNextYear	LanguageWorkedWith	MiscTechDesireNextYear	MiscTechWorkedWith	NEWCollabToolsDesireNextYear	NEWCollabToolsWorkedWith	NEWDevOps	NEWDevOpsImpt	NEWEdImpt	NEWJobHunt	NEWJobHuntResearch	NEWLearn	NEWOffTopic	NEWOnboardGood	NEWOtherComms	NEWOvertime	NEWPurchaseResearch	NEWPurpleLink	NEWSOSites	NEWStuck	OpSys	OrgSize	PlatformDesireNextYear	PlatformWorkedWith	PurchaseWhat	Sexuality	SOAccount	SOComm	SOPartFreq	SOVisitFreq	SurveyEase	SurveyLength	Trans	UndergradMajor	WebframeDesireNextYear	WebframeWorkedWith	WelcomeChange	WorkWeekHrs	YearsCode	YearsCodePro
10390	10423	I am not primarily a developer, but I write code sometimes as part of my work	Yes		20	Monthly			Nepal	United States dollar	USD	MySQL;Oracle;PostgreSQL;SQLite	MySQL;Oracle	Academic researcher;Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Marketing or sales professional	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed	Indigenous (such as Native American, Pacific Islander, or Indigenous Australian)	Non-binary, genderqueer, or gender non-conforming		Slightly satisfied	I’m not actively looking, but I am open to new opportunities	Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;PHP;Python;TypeScript	Bash/Shell/PowerShell;C;C#;TypeScript					Not sure	Not very important	Very important	Just because		Once a year	Not sure		No	Rarely: 1-2 days per year or less	Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit	Indifferent	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters);Stack Overflow Advertising (for technology companies)	Meditate;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Windows	100 to 499 employees	Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;Linux;WordPress	Android;Linux;WordPress		Bisexual	Yes	Neutral	I have never participated in Q&A on Stack Overflow	Daily or almost daily	Neither easy nor difficult	Appropriate in length	Yes	Information systems, information technology, or system administration	Angular.js;ASP.NET;ASP.NET Core;Django;Drupal;Express;jQuery;React.js	Angular;Angular.js;Express;jQuery;React.js	A lot more welcome now than last year		4.0	3
10978	11013	I am a developer by profession	Yes	23.0	18	Yearly	1000000.0	8755.0	Nepal	Nepalese rupee	NPR	MongoDB;MySQL;Oracle;PostgreSQL	MongoDB;MySQL	Academic researcher;Developer, back-end;Educator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development	Very satisfied	I am not interested in new job opportunities	Java;JavaScript;Python;R;Ruby;Rust;SQL;Swift;TypeScript	Java;JavaScript;Python;SQL;TypeScript	Node.js		Confluence;Jira;Github;Gitlab;Facebook Workplace;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Confluence;Jira;Github;Gitlab;Facebook Workplace;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Critically important		Personal network - friends or family;Directly asking current or past employees at the company	Once a year	No	Yes	No	Sometimes: 1-2 days per month but less than weekly		Amused	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Windows	100 to 499 employees	AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure	Windows	I have little or no influence		Yes	Yes, definitely	Daily or almost daily	Daily or almost daily	Neither easy nor difficult	Too long	No	Computer science, computer engineering, or software engineering	Angular;Django;Express;React.js;Ruby on Rails;Spring;Vue.js	Angular;Spring	A lot more welcome now than last year	45.0	5.0	2
11758	11797	I am a developer by profession	Yes	23.0	18	Monthly	40000.0	4200.0	Nepal	Nepalese rupee	NPR	Elasticsearch;Firebase;MariaDB;MongoDB;Oracle;PostgreSQL;Redis	MySQL	Developer, back-end;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Financial performance or funding status of the company or organization;Office environment or company culture;Opportunities for professional development	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	Java;JavaScript;Python;SQL	Java;JavaScript;SQL	Ansible;Apache Spark;Pandas;TensorFlow		Microsoft Teams	Confluence;Jira;Github;Gitlab;Slack;Trello	Yes	Extremely important	Somewhat important	Wanting to share accomplishments with a wider network;Curious about other opportunities;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies	Personal network - friends or family	Every few months	Not sure	No	No	Sometimes: 1-2 days per month but less than weekly	Start a free trial;Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Linux-based	20 to 99 employees	AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure	Linux;Windows	I have some influence	Straight / Heterosexual	Yes	Yes, somewhat	A few times per month or weekly	Multiple times per day	Easy	Too long	No	Information systems, information technology, or system administration	Angular;Django;Spring;Vue.js	Angular.js;Spring	Just as welcome now as I felt last year	45.0	3.0	2
13171	13211	I am not primarily a developer, but I write code sometimes as part of my work	Yes	23.0	9	Yearly	500000.0	4378.0	Nepal	Nepalese rupee	NPR		MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite	Developer, back-end	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Diversity of the company or organization;Remote work options;Opportunities for professional development	Slightly dissatisfied	I am actively looking for a job	Bash/Shell/PowerShell	C#;HTML/CSS;Java;JavaScript;PHP;SQL;VBA		.NET;Node.js		Github;Gitlab	No	Neutral	Fairly important	Curious about other opportunities;Wanting to work with new technologies	Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company	Once a year	No	No	No	Often: 1-2 days per week or more		Annoyed	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Visit Stack Overflow;Do other work and come back later	Windows	1,000 to 4,999 employees		Android;Arduino;Windows	I have little or no influence	Straight / Heterosexual	Yes	Neutral	I have never participated in Q&A on Stack Overflow	Daily or almost daily	Neither easy nor difficult	Too long	No	Computer science, computer engineering, or software engineering		ASP.NET;jQuery;Laravel	Just as welcome now as I felt last year	60.0	8.0	2
14031	14074	I am a student who is learning to code	Yes	23.0	16				Nepal			MongoDB	MongoDB;MySQL	Academic researcher;Designer;Developer, back-end;Developer, front-end;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	East Asian	Man	Remote work options;Opportunities for professional development;Family friendliness		I’m not actively looking, but I am open to new opportunities	JavaScript;Python;Swift	C;C#;C++;HTML/CSS;Java;JavaScript;PHP	Node.js;React Native	Node.js	Github	Github;Gitlab						Every few months	No		No		Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Visit Stack Overflow	Windows		Android;Docker;Google Cloud Platform;Heroku;MacOS;WordPress	Linux;WordPress		Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Multiple times per day	Easy	Appropriate in length		Web development or web design	Django;Express;React.js	Express;jQuery;Laravel;React.js	Just as welcome now as I felt last year		3.0	
14157	14201	I am a developer by profession	No	28.0	18	Monthly	80000.0	8400.0	Nepal	Nepalese rupee	NPR	Elasticsearch;PostgreSQL	PostgreSQL	Developer, back-end;Developer, front-end;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development	Slightly satisfied	I am actively looking for a job	Rust	HTML/CSS;JavaScript;Python			Github	Github;Gitlab;Slack;Trello	No	Extremely important	Somewhat important	Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company	Once every few years	Yes	No	Yes	Rarely: 1-2 days per year or less	Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later	Linux-based	2 to 9 employees	Docker	Linux	I have some influence	Straight / Heterosexual	No	Yes, somewhat		A few times per week	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Django;Vue.js	Django	Just as welcome now as I felt last year	40.0	8.0	3
14507	14552	I am a developer by profession	Yes	25.0	16	Monthly	100000.0	10512.0	Nepal	Nepalese rupee	NPR	Microsoft SQL Server;MongoDB;Redis		Data scientist or machine learning specialist;Developer, full-stack;DevOps specialist;System administrator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Industry that I’d be working in;Office environment or company culture;Opportunities for professional development	Slightly dissatisfied	I’m not actively looking, but I am open to new opportunities	Assembly;JavaScript;Python		Flutter;Node.js;Torch/PyTorch		Github;Gitlab;Facebook Workplace		No	Extremely important	Fairly important	Better compensation;Better work/life balance	Directly asking current or past employees at the company	Once a year	No	No	No	Rarely: 1-2 days per year or less	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes)	Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later	Linux-based	10 to 19 employees	Linux;Raspberry Pi		I have a great deal of influence	Straight / Heterosexual	Yes	Yes, somewhat	Daily or almost daily	Daily or almost daily	Difficult	Too long	No	Computer science, computer engineering, or software engineering	Django;Express;Vue.js		Just as welcome now as I felt last year	45.0	7.0	5
14712	14758	I am a student who is learning to code	No	22.0	19				Nepal			MongoDB	MySQL;SQLite		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Student	South Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Family friendliness		I’m not actively looking, but I am open to new opportunities	C#;Python;VBA	C;C++;HTML/CSS;JavaScript;PHP;SQL	.NET;Unity 3D;Unreal Engine			Facebook Workplace						Once a year	Not sure		No		Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Windows		Arduino;AWS;iOS;Raspberry Pi	Android		Straight / Heterosexual	Yes	Neutral	I have never participated in Q&A on Stack Overflow	A few times per month or weekly	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular;Laravel;React.js		Not applicable - I did not use Stack Overflow last year		3.0	
14746	14793	I am a developer by profession	Yes	31.0	21	Monthly	150000.0	15756.0	Nepal	Nepalese rupee	NPR	SQLite	SQLite	Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Flex time or a flexible schedule;Remote work options;Office environment or company culture	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	Dart;HTML/CSS;Java;JavaScript;Kotlin;TypeScript	HTML/CSS;Java;JavaScript;Kotlin		Xamarin	Confluence;Jira;Github;Microsoft Teams;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)	Yes	Somewhat important	Fairly important	Curious about other opportunities;Better compensation;Trouble with leadership at my company;Growth or leadership opportunities	Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company	Once a year	No	No	No	Never		Indifferent	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later	MacOS	10 to 19 employees	Android	Android	I have little or no influence		Yes	Yes, definitely	Less than once per month or monthly	Daily or almost daily	Easy	Too long	No	Information systems, information technology, or system administration	React.js	React.js	Just as welcome now as I felt last year	45.0	10.0	7
14808	14855	I am a developer by profession	No	24.0	18				Nepal			MongoDB;PostgreSQL;Redis	MongoDB;PostgreSQL;Redis	Designer;Developer, front-end	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Not employed, but looking for work	Southeast Asian	Man	Diversity of the company or organization;Office environment or company culture;Opportunities for professional development		I am actively looking for a job	HTML/CSS;JavaScript;TypeScript	HTML/CSS;JavaScript;TypeScript	Node.js	Node.js	Github	Github;Slack			Somewhat important	Curious about other opportunities;Better work/life balance;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company	Once a year	Yes				Start a free trial	Annoyed	Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):	Windows		Windows	Windows		Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	Daily or almost daily	Neither easy nor difficult	Appropriate in length	No	Information systems, information technology, or system administration	Gatsby;React.js;Vue.js	Angular;Gatsby;React.js;Vue.js	Somewhat less welcome now than last year		7.0	
14910	14958	I am a developer by profession	Yes	23.0	14	Monthly	30000.0	3156.0	Nepal	Nepalese rupee	NPR	Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis	Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis	Academic researcher;Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test	Some college/university study without earning a degree	Employed full-time	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Remote work options;How widely used or impactful my work output would be	Very satisfied	I’m not actively looking, but I am open to new opportunities	HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;Scala;SQL;TypeScript	C;C#;C++;HTML/CSS;JavaScript;PHP;SQL;TypeScript;VBA	Cordova;Flutter;Node.js;Puppet;React Native	.NET;Node.js;React Native	Github;Gitlab;Slack;Stack Overflow for Teams	Github;Gitlab;Slack;Trello	Yes	Extremely important	Somewhat important	Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company	Every few months	No	No	Yes	Occasionally: 1-2 days per quarter but less than monthly	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Annoyed	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Windows	2 to 9 employees	Android;AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Slack Apps and Integrations;Windows	Android;AWS;Google Cloud Platform;Heroku;Slack Apps and Integrations;Windows;WordPress	I have some influence	Straight / Heterosexual	Yes	Yes, definitely	Daily or almost daily	Daily or almost daily	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Django;Express;Flask;Gatsby;jQuery;Laravel;React.js;Vue.js	ASP.NET;ASP.NET Core;Drupal;Express;jQuery;Laravel;React.js;Vue.js	Just as welcome now as I felt last year	40.0	9.0	3
15130	15180	I am a developer by profession	Yes		19	Monthly	12000.0	1260.0	Nepal	Nepalese rupee	NPR	Firebase	Firebase	Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man		Very satisfied	I am not interested in new job opportunities	Dart;JavaScript;Rust;TypeScript	JavaScript	Node.js;React Native	Node.js	Github;Gitlab;Slack	Github;Gitlab;Slack	Not sure	Somewhat important	Critically important			Every few months	Not sure	Yes	Yes	Rarely: 1-2 days per year or less		Amused	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity	Linux-based	2 to 9 employees	Google Cloud Platform;Linux	Google Cloud Platform;Linux;Windows	I have little or no influence	Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	A few times per week	Easy	Too long	No	Computer science, computer engineering, or software engineering	React.js;Vue.js	Laravel;React.js;Vue.js	Just as welcome now as I felt last year	40.0	3.0	Less than 1 year
15406	15457	I am a developer by profession	Yes		13				Nepal	Nepalese rupee	NPR	Firebase;SQLite	Firebase;MariaDB;MongoDB;MySQL;SQLite	Academic researcher;Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Educator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed	South Asian	Man		Very satisfied	I’m not actively looking, but I am open to new opportunities	Dart;HTML/CSS;JavaScript	Dart;HTML/CSS;JavaScript;PHP	Flutter;Node.js	Flutter;React Native		Jira;Github;Gitlab;Slack;Trello	No	Extremely important	Fairly important	Wanting to share accomplishments with a wider network;Curious about other opportunities;Wanting to work with new technologies		Every few months	No	No	Yes	Rarely: 1-2 days per year or less	Ask developers I know/work with;Visit developer communities like Stack Overflow	Annoyed	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later	Linux-based	Just me - I am a freelancer, sole proprietor, etc.	Docker;iOS;Linux;WordPress	Android;Docker;Linux;WordPress			Yes	Yes, definitely	A few times per week	Multiple times per day	Easy	Too long	No	Computer science, computer engineering, or software engineering	React.js	Laravel;React.js			10.0	8
15711	15765	I am a student who is learning to code	No	20.0	19				Nepal			MongoDB;MySQL	Oracle		Some college/university study without earning a degree	Student	South Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture		I’m not actively looking, but I am open to new opportunities	HTML/CSS;JavaScript;SQL;TypeScript	HTML/CSS;JavaScript;SQL	Node.js		Github;Gitlab;Microsoft Azure	Github;Gitlab						Once a year	Yes		No		Ask developers I know/work with;Visit developer communities like Stack Overflow	Amused	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Linux-based		Linux;Windows	Linux;Windows		Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	Daily or almost daily	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Express;jQuery;React.js		Just as welcome now as I felt last year		2.0	
15776	15831	I am a student who is learning to code	No		17				Nepal			MongoDB	MySQL			Student	East Asian	Man	Remote work options;Office environment or company culture;Opportunities for professional development		I am actively looking for a job	C#;HTML/CSS;JavaScript;SQL	HTML/CSS;JavaScript;SQL		Flutter	Github	Github						Every few months	No		Yes		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Annoyed	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):	Windows		Windows	Windows;WordPress			Yes	Yes, somewhat	A few times per month or weekly	A few times per week	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	React.js	React.js	Not applicable - I did not use Stack Overflow last year		3.0	
16182	16238	I am a developer by profession	Yes	25.0	20	Monthly	100000.0	10512.0	Nepal	Nepalese rupee	NPR			Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed	East Asian	Man	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development	Slightly dissatisfied	I am actively looking for a job	Dart;Go;HTML/CSS;JavaScript;TypeScript	Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;TypeScript	Node.js	.NET;.NET Core;Node.js;React Native	Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)	No	Extremely important	Fairly important	Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company	Once every few years	Yes	No	No	Often: 1-2 days per week or more	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers)	Play games;Visit Stack Overflow;Panic;Watch help / tutorial videos;Do other work and come back later	Linux-based	2 to 9 employees	AWS;Docker;Linux	AWS;Docker;Linux		Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	Multiple times per day	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	Angular;Express;React.js;Vue.js	Angular;Express;React.js	Just as welcome now as I felt last year	50.0	8.0	4
16446	16503	I am a developer by profession	Yes	24.0	20	Monthly	450.0	5400.0	Nepal	United States dollar	USD	Firebase;MongoDB;PostgreSQL;Redis;SQLite	Firebase;MongoDB;PostgreSQL;SQLite	Data or business analyst;Developer, full-stack;Educator	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Independent contractor, freelancer, or self-employed		Man	Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Remote work options	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	C#;Python;Rust;TypeScript	C++;Java;JavaScript;Python	.NET Core;Flutter;Torch/PyTorch		Jira;Github;Slack;Microsoft Teams;Trello;Stack Overflow for Teams	Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	No	Extremely important	Fairly important	Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company	Every few months	Yes	No	Yes	Occasionally: 1-2 days per quarter but less than monthly	Visit developer communities like Stack Overflow	Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):	Linux-based	Just me - I am a freelancer, sole proprietor, etc.	AWS;Docker;Linux;MacOS;Raspberry Pi;Slack Apps and Integrations	Docker;Heroku;Linux;WordPress			Yes	Yes, somewhat	Less than once per month or monthly	Multiple times per day	Neither easy nor difficult	Appropriate in length		Computer science, computer engineering, or software engineering	ASP.NET Core;Django;React.js;Vue.js	Angular;Django;React.js	Just as welcome now as I felt last year	8.0	4.0	Less than 1 year
16987	17047	I am a developer by profession	Yes	23.0	14	Monthly	55000.0	5784.0	Nepal	Nepalese rupee	NPR	MongoDB	MariaDB;MySQL;PostgreSQL;SQLite	Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;System administrator	Primary/elementary school	Employed full-time	East Asian	Man	Financial performance or funding status of the company or organization;How widely used or impactful my work output would be;Opportunities for professional development	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	Java;Kotlin;Ruby	Go;HTML/CSS;JavaScript;Python;SQL;TypeScript	Flutter;Keras;React Native;TensorFlow;Torch/PyTorch	Node.js		Jira;Github;Gitlab;Slack;Trello	Yes	Neutral	Somewhat important	Wanting to share accomplishments with a wider network;Curious about other opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company	Every few months	No	No	Yes	Sometimes: 1-2 days per month but less than weekly	Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd	Indifferent	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):	Linux-based	20 to 99 employees	Android;Arduino;Kubernetes;Raspberry Pi	AWS;Docker;Heroku;Linux	I have a great deal of influence	Straight / Heterosexual	Yes	Yes, definitely	A few times per week	Multiple times per day	Easy	Appropriate in length	No		Spring;Vue.js	Django;Express;Flask;jQuery;React.js	A lot more welcome now than last year	50.0	7.0	2
19941	20021	I am a developer by profession	Yes		22	Monthly	50000.0	5256.0	Nepal	Nepalese rupee	NPR	DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis	Microsoft SQL Server;PostgreSQL;Redis	Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian;Southeast Asian	Man	Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development	Slightly dissatisfied	I’m not actively looking, but I am open to new opportunities	Bash/Shell/PowerShell;C++;Go;Haskell;JavaScript;Julia;Python;R;TypeScript	JavaScript;Python;TypeScript	Pandas;TensorFlow;Torch/PyTorch	Apache Spark;Pandas	Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams	Yes	Extremely important	Somewhat important	Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company	Once a year		No	No	Sometimes: 1-2 days per month but less than weekly		Indifferent	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Linux-based	100 to 499 employees	Docker;Heroku;Kubernetes;Linux;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations	Docker;Linux;Slack Apps and Integrations	I have little or no influence	Straight / Heterosexual	Yes	Neutral	I have never participated in Q&A on Stack Overflow	Daily or almost daily	Neither easy nor difficult	Too long	No	Computer science, computer engineering, or software engineering	React.js	Flask;React.js	Just as welcome now as I felt last year	40.0	5.0	1
